country_iso,mean,std,count
AFG,-0.323725590902,0.169734797234,4
AGO,1.86271211946,0.0,3
ALB,1.01534327763,,1
ARG,5.16212360689,10.1201703734,31
ARM,0.148599462844,0.702620225215,46
AUS,1.86271211946,,1
AUT,-0.408592989519,,1
AZE,1.33071017641,3.27024317405,8
BDI,1.3903679313,0.235774991186,15
BEN,0.806389691801,3.92657224191,59
BFA,0.174327682211,0.772276777109,19
BGD,5.02967185316,6.71562971446,3
BGR,0.161392384473,0.399361233781,69
BHS,0.415429935226,0.0,8
BIH,-0.776629897789,2.72216865596,8
BLR,-0.747368345513,6.96762435154,17
BLZ,3.66661959376,5.04059306038,13
BOL,1.1248474713,0.900141877568,36
BRA,2.13263758297,2.11956210352,44
BTN,4.75352018137,6.83214430929,4
BWA,-0.156225755188,0.757101702993,9
CAF,1.82919416051,,1
CHL,0.975450900516,0.978915931707,7
CHN,0.327780113929,4.05703902879,155
CIV,1.32018547441,0.785443447666,8
CMR,1.0244435371,2.67702296475,24
COD,3.4412601211,8.30854388707,29
COG,0.660917292712,2.63112363187,5
COL,2.20591078177,5.17318038617,48
CRI,3.01917664683,2.81490009126,11
CUB,1.69918940082,1.40838710772,13
CZE,-4.04570813743,,1
DEU,-4.04570813743,,1
DJI,0.423460071869,0.708172768966,3
DOM,1.17230599076,0.716161719239,24
DZA,0.146330728156,0.44192122256,9
ECU,0.0330856246259,2.54457509962,48
EGY,-0.24378840457,0.36851425495,5
ERI,2.62119361954,1.56598603575,9
ETH,0.931787378801,4.09211735063,75
FJI,4.99854867896,,1
FRA,-0.464388090384,3.1866733247,4
GAB,0.997289757776,2.05778779418,8
GEO,0.457393964117,2.01716477964,13
GHA,2.72679446272,4.36675749626,36
GIN,-0.783952957965,5.55340147142,16
GMB,-0.23276921245,1.40887309884,33
GNB,1.44843664431,15.7888166239,12
GNQ,1.82919416051,0.0,4
GTM,1.75061358618,0.272282354794,10
HND,4.12317588988,4.14027508139,23
HRV,-0.581604640294,2.48120882219,22
HTI,1.20099700006,0.41148039831,8
HUN,1.01534327763,,1
IDN,2.92796524517,6.89155258738,43
IND,1.91192223645,4.71702172315,127
IRN,0.26320152378,0.596758422458,54
ISR,0.0034184728535,0.47574985742,4
JAM,2.61070995188,3.90661878098,12
JOR,0.337380758496,1.96819716302,71
KAZ,-0.477614158873,1.87191855485,29
KEN,2.26066464099,3.72652162179,33
KGZ,0.365110815279,1.06601473542,33
KHM,3.99514381392,10.0540124344,15
LAO,1.86271211946,0.0,2
LBN,1.99977620875,4.17141781479,3
LBR,9.74266817414,7.1933828055,5
LKA,2.71557072137,2.90987273604,21
LSO,-0.0407300780372,0.040154214001,2
LTU,1.43902769854,0.599180254224,2
LVA,1.50425807212,,1
MAR,0.202381342803,0.600714401905,49
MDA,-0.408592989519,,1
MDG,3.45802361561,5.33961711512,27
MEX,1.02396823623,1.13923569249,116
MKD,1.01534327763,0.0,2
MLI,0.426670618794,0.722189329137,58
MMR,1.72590387399,0.193476076188,2
MNE,-1.1536787574,2.70524577314,7
MNG,4.10894186761,13.8418447668,9
MOZ,1.25902112686,1.40574004875,10
MRT,0.240609356349,0.582520106652,18
MWI,5.67555292195,8.07171987789,3
MYS,4.82272570691,6.45106641008,10
NAM,-0.31098366322,0.219024316269,20
NER,0.488023232954,5.19743352982,234
NGA,0.605355861984,6.4044596627,66
NIC,1.77011892699,11.0176861544,15
NPL,2.8234347512,4.61555548686,9
PAK,0.603664034999,0.887862639384,22
PAN,3.90644943216,3.74359871562,41
PER,3.52909164383,5.50553511493,31
PHL,0.976817216206,8.61027541812,40
PNG,1.82919416051,0.0,3
PRY,14.4309730962,31.0501003832,6
PSE,1.32478684764,,1
ROU,0.911320086091,1.20386063479,74
RUS,5.92713649241,18.9925692092,60
RWA,1.24973368617,0.273372019909,8
SDN,3.81464917423,10.5775589745,13
SEN,0.0597812664524,6.91673455506,80
SLE,-7.97100761429,13.5200276637,2
SLV,1.72148397915,0.345936881069,6
SRB,0.821170150292,0.50015773723,22
SSD,6.29724181149,5.80742329126,3
SUR,1.43902769854,0.599180254224,2
SVK,-1.12047882443,4.76780907925,8
SWZ,6.55379473229,0.0,6
TCD,-2.00436305664,10.1049976573,13
TGO,1.45569009408,6.28566179208,42
THA,3.64234402228,9.00593450828,9
TJK,0.283557800003,0.792501568981,25
TKM,0.199431780794,0.728560902052,14
TUN,0.345108496754,0.8892743603,56
TUR,-0.642796779501,1.60936712392,14
TZA,0.277846434079,2.6357900447,26
UGA,2.40183842357,4.88581039345,44
UKR,3.28025794152,5.20503527297,3
URY,1.64109932323,0.474650872476,9
USA,1.50425807212,,1
UZB,0.640299298003,1.29168160416,32
VEN,4.36732231999,4.57711598244,3
VNM,4.3244678268,9.00702872528,53
VUT,4.99854867896,,1
ZAF,0.232473938041,1.20850480899,25
ZMB,0.901749642865,1.01172778492,16
ZWE,-0.0300421380225,0.927256427863,6
